level_strict3,locale_simple,reason,start_year,end_year,start_rate,end_rate,abs_change,pct_change,log_change,direction
Elementary,Suburban,Willful Defiance,2017-18,2023-24,0.0011319260931431812,1.7669574187139894e-4,-9.552303512717823e-4,-0.8438981635446334,-1.857246686921583,Decrease
Middle,Suburban,Other,2017-18,2023-24,0.002544004574401065,0.0016153050500120629,-9.286995243890019e-4,-0.36505418808362233,-0.4542156192954914,Decrease
Alternative,City,Other,2017-18,2023-24,0.0020110264443137203,0.001102068497795863,-9.089579465178573e-4,-0.4519870681402436,-0.6014563940283296,Decrease
Alternative,Unknown,Weapons,2017-18,2023-24,9.082652134423251e-4,0,-9.082652134423251e-4,NA,NA,Decrease
Middle,Rural,Other,2017-18,2023-24,0.0026281713107285023,0.001723329002454165,-9.048423082743374e-4,-0.3442858936100038,-0.4220303984622056,Decrease
High,Suburban,Other,2017-18,2023-24,0.0025008909808162615,0.0016251886523497587,-8.757023284665028e-4,-0.3501561384257877,-0.43102315791095946,Decrease
High,City,Other,2017-18,2023-24,0.0021986286389606203,0.0013583827891739601,-8.402458497866602e-4,-0.38216815468385695,-0.4815389535066928,Decrease
Other/Unknown,Unknown,Weapons,2017-18,2023-24,0.0012396592778064167,4.5878574705612477e-4,-7.808735307502919e-4,-0.6299098024192998,-0.994008525807576,Decrease
Other/Unknown,City,Illicit Drug,2017-18,2023-24,0.007477278367273521,0.006698623455405032,-7.786549118684889e-4,-0.10413614066804014,-0.10996682026153573,Decrease
Middle,Town,Other,2017-18,2023-24,0.003369104067881208,0.004128611165867227,7.59507097986019e-4,0.22543295863925764,0.20329421717691673,Increase
Middle,Suburban,Weapons,2017-18,2023-24,0.0020468420693092603,0.0013740491884651968,-6.727928808440635e-4,-0.32869799332935745,-0.3985361588110893,Decrease
Elementary,Rural,Weapons,2017-18,2023-24,0.001049901185770751,3.833725833835369e-4,-6.665286023872141e-4,-0.6348488899913983,-1.0074440110504437,Decrease
High,Rural,Weapons,2017-18,2023-24,0.002021956741517037,0.0013651459891195828,-6.568107523974543e-4,-0.324839171338879,-0.3928043518069866,Decrease
Other/Unknown,City,Other,2017-18,2023-24,0.0021559943972459233,0.0015143809881076043,-6.41613409138319e-4,-0.29759511896594854,-0.3532452876050054,Decrease
