level_strict3,locale_simple,academic_year,year_fct,n_races,max_rate,min_rate,spread_abs,spread_ratio,p90_rate,p10_rate,spread_9010,cv
Alternative,Suburban,2017-18,2017-18,8,0.20869455961804248,0,0.20869455961804248,NA,0.12935091645865643,0.009971509971509975,0.11937940648714646,0.9747214444727181
Alternative,Suburban,2018-19,2018-19,8,0.3404255319148936,0,0.3404255319148936,NA,0.2757910259111017,0.02114093959731544,0.2546500863137863,1.0497787427897176
Alternative,Suburban,2019-20,2019-20,8,0.2284021721244035,0,0.2284021721244035,NA,0.1305861730116718,0,0.1305861730116718,1.217293356698365
Alternative,Suburban,2021-22,2021-22,8,0.05042016806722689,0,0.05042016806722689,NA,0.03681039011998871,0,0.03681039011998871,1.0652738742043775
Alternative,Suburban,2022-23,2022-23,8,0.11293366236028451,0,0.11293366236028451,NA,0.07229553539136072,0,0.07229553539136072,1.1797227852424848
Alternative,Suburban,2023-24,2023-24,8,0.18063342930747084,0,0.18063342930747084,NA,0.10018033367179044,0.007743362831858409,0.09243697083993203,1.1239172276976852
Alternative,Town,2017-18,2017-18,5,0.3780487804878049,0.14912280701754385,0.22892597347026103,2.5351506456241033,0.3657181571815718,0.14993079898074013,0.21578735820083167,0.40956970280400884
Alternative,Town,2018-19,2018-19,5,0.3916083916083916,0.0392156862745098,0.3523927053338818,9.986013986013987,0.36979649563919226,0.07289366008183377,0.29690283555735847,0.6460347378100795
Alternative,Town,2019-20,2019-20,5,0.35294117647058826,0.1038961038961039,0.24904507257448436,3.3970588235294117,0.29358288770053476,0.10897675230663856,0.1846061353938962,0.5634743725275809
Alternative,Town,2021-22,2021-22,7,0.09649122807017543,0,0.09649122807017543,NA,0.0938162714478504,0,0.0938162714478504,0.8425299547870366
Alternative,Town,2022-23,2022-23,6,0.14728682170542637,0.02702702702702703,0.12025979467839934,5.449612403100775,0.14684160905091137,0.0630304217260739,0.08381118732483747,0.41838519365089605
Alternative,Town,2023-24,2023-24,6,0.23125,0,0.23125,NA,0.1845703125,0.043478260869565216,0.14109205163043478,0.7027821370463455
Alternative,Unknown,2017-18,2017-18,7,0.58679706601467,0,0.58679706601467,NA,0.38650119038335407,0.018181818181818184,0.3683193722015359,1.3907967321349195
Alternative,Unknown,2018-19,2018-19,7,0.6456599286563615,0,0.6456599286563615,NA,0.4356757361684271,0,0.4356757361684271,1.4124786776330773
Alternative,Unknown,2019-20,2019-20,6,0.40350877192982454,0,0.40350877192982454,NA,0.3321891685736079,0.07732696897374702,0.2548621995998609,0.6845269562572245
Alternative,Unknown,2021-22,2021-22,8,0.07735583684950774,0,0.07735583684950774,NA,0.05377443664437197,0,0.05377443664437197,1.255529076377288
Alternative,Unknown,2022-23,2022-23,6,0.5454545454545454,0,0.5454545454545454,NA,0.4813692480359147,0.08152909336941813,0.3998401546664966,0.7092020345797
Alternative,Unknown,2023-24,2023-24,2,0.02702702702702703,0.010869565217391304,0.016157461809635724,2.486486486486487,0.025411280846063453,0.01248531139835488,0.012925969447708574,0.6029592707792266
Elementary,City,2017-18,2017-18,8,0.2916666666666667,0.0033394556687259976,0.2883272109979407,87.33958333333334,0.11748842990712652,0.0033922288291086114,0.1140962010780179,1.9587557767074568
Elementary,City,2018-19,2018-19,8,0.033736120182887,0,0.033736120182887,NA,0.021809147743177784,0.001980362789149609,0.019828784954028175,0.9958430286435563
Elementary,City,2019-20,2019-20,8,0.024517401719036214,0,0.024517401719036214,NA,0.01486959131701289,8.419243986254298e-4,0.01402766691838746,1.2046804426048177
Elementary,City,2021-22,2021-22,8,0.03157280906364545,0,0.03157280906364545,NA,0.018129882327301255,0.0017710309930423786,0.016358851334258878,1.0689475382951152
Elementary,City,2022-23,2022-23,8,0.07540983606557378,0,0.07540983606557378,NA,0.0455019694670191,7.636919048658086e-4,0.04473827756215329,1.4491662059809984
Elementary,City,2023-24,2023-24,8,0.030735362601075313,0,0.030735362601075313,NA,0.020281556861586697,0.0015576323987538945,0.018723924462832803,0.9402255644634017
Elementary,Rural,2017-18,2017-18,8,0.09551656920077972,0,0.09551656920077972,NA,0.0792722547108512,0,0.0792722547108512,1.0880619111857148
Elementary,Rural,2018-19,2018-19,8,0.3655913978494624,0,0.3655913978494624,NA,0.168010752688172,7.734806629834256e-4,0.16723727202518857,1.6240316046861227
Elementary,Rural,2019-20,2019-20,8,0.13725490196078433,0.003028773346794548,0.13422612861398978,45.316993464052295,0.08784313725490195,0.00734245553345013,0.08050068172145182,1.2038192289515715
Elementary,Rural,2021-22,2021-22,8,0.044642857142857144,0,0.044642857142857144,NA,0.04139285714285714,0.0010000000000000002,0.04039285714285714,0.9164879285609353
